Strain	Stress [MPa]
	
0.00119	-3.93041
0.00156	16.73771
0.00194	37.40583
0.00156	58.07395
0.00194	78.74207
0.00194	99.41019
0.00194	120.07831
0.00232	140.74643
0.00232	161.41455
0.0027	182.08267
0.0027	202.75079
0.0027	223.41891
0.00308	244.08703
0.00308	264.75515
0.0027	285.42328
0.00346	306.0914
0.00346	326.75952
0.00346	347.42764
0.00384	368.09576
0.00497	382.56344
0.00762	388.76388
0.01027	397.03113
0.01254	405.29837
0.01443	419.76606
0.01708	432.16693
0.01898	444.5678
0.02163	454.90186
0.02352	465.23592
0.02617	477.6368
0.02844	490.03767
0.03109	500.37173
0.03412	510.70579
0.03677	521.03985
0.03942	529.3071
0.04282	539.64116
0.04547	547.90841
0.04926	556.17565
0.05229	564.4429
0.05531	570.64334
0.05872	580.9774
0.06251	587.17784
0.06629	593.37827
0.07008	599.57871
0.07386	605.77914
0.07765	611.97958
0.08143	618.18002
0.08522	622.31364
0.089	626.44726
0.09279	628.51408
0.09657	634.71451
0.10036	636.78132
0.10414	640.91495
0.10793	645.04857
0.11171	647.11538
0.1155	651.24901
0.11928	653.31582
0.12307	657.44944
0.12685	661.58307
0.13064	663.64988
0.13442	665.71669
0.13821	667.78351
0.14199	669.85032
0.14578	673.98394
0.14957	673.98394
0.15335	676.05075
0.15714	678.11757
0.16092	680.18438
0.16471	680.18438
0.16849	682.25119
0.17228	678.11757
0.17606	678.11757
0.17985	676.05075
0.18363	673.98394
0.18742	673.98394
0.1912	667.78351
0.19499	663.64988
0.19877	657.44944
0.20218	651.24901
0.20559	645.04857
0.20861	638.84814
0.21202	628.51408
0.21467	622.31364
0.21732	614.04639
0.21997	607.84596
0.22262	597.5119
0.22527	589.24465
0.22792	578.91059
0.23057	566.50971
0.2336	552.04203
0.23625	543.77478
0.23814	531.37391
0.24041	521.03985
0.2423	506.57216
0.24419	494.17129
